"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Weapons and Explosives Offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Damage to property and to the environment","Number","5"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Public order and other social code offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","63102 Garristown, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","0"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","49"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Dangerous or negligent acts","Number","27"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","16"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Burglary and related offences","Number","95"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Theft and related offences","Number","280"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Fraud, deception and related offences","Number","11"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Controlled drug offences","Number","14"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Weapons and Explosives Offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Damage to property and to the environment","Number","97"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Public order and other social code offences","Number","45"
"Recorded Crime Offences Under Reservation","2017","63402 Howth, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","10"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Dangerous or negligent acts","Number","22"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","18"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Burglary and related offences","Number","185"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Theft and related offences","Number","683"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Fraud, deception and related offences","Number","70"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Controlled drug offences","Number","43"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Weapons and Explosives Offences","Number","15"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Damage to property and to the environment","Number","145"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Public order and other social code offences","Number","139"
"Recorded Crime Offences Under Reservation","2017","61102 Irishtown, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","8"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","264"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Dangerous or negligent acts","Number","49"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Kidnapping and related offences","Number","2"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","61"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Burglary and related offences","Number","202"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Theft and related offences","Number","1300"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Fraud, deception and related offences","Number","82"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Controlled drug offences","Number","282"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Weapons and Explosives Offences","Number","43"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Damage to property and to the environment","Number","435"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Public order and other social code offences","Number","377"
"Recorded Crime Offences Under Reservation","2017","61301 Kevin Street, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","18"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Attempts/threats to murder, assaults, harassments and related offences","Number","189"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Dangerous or negligent acts","Number","32"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Robbery, extortion and hijacking offences","Number","60"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Burglary and related offences","Number","139"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Theft and related offences","Number","699"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Fraud, deception and related offences","Number","35"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Controlled drug offences","Number","133"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Weapons and Explosives Offences","Number","40"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Damage to property and to the environment","Number","263"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Public order and other social code offences","Number","262"
"Recorded Crime Offences Under Reservation","2017","61302 Kilmainham, D.M.R. South Central Division","Offences against government, justice procedures and organisation of crime","Number","36"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","81"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Dangerous or negligent acts","Number","51"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Kidnapping and related offences","Number","1"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","24"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Burglary and related offences","Number","200"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Theft and related offences","Number","602"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Fraud, deception and related offences","Number","41"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Controlled drug offences","Number","89"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Weapons and Explosives Offences","Number","23"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Damage to property and to the environment","Number","217"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Public order and other social code offences","Number","132"
"Recorded Crime Offences Under Reservation","2017","66301 Lucan, D.M.R. Western Division","Offences against government, justice procedures and organisation of crime","Number","17"
"Recorded Crime Offences Under Reservation","2017","63103 Lusk, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","67"
"Recorded Crime Offences Under Reservation","2017","63103 Lusk, D.M.R. Northern Division","Dangerous or negligent acts","Number","19"
"Recorded Crime Offences Under Reservation","2017","63103 Lusk, D.M.R. Northern Division","Kidnapping and related offences","Number","2"
